Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
MMTC Ltd,14.75,-3.59,956873,0.00,14.75,0,2058
MOIL,129.35,-2.41,419634,0.00,129.35,0,70
Motherson Sumi,76.80,6.67,37315666,0.00,76.80,0,6168
Motilal Oswal,474.90,-1.00,253447,0.00,474.90,0,190
MphasiS,698.20,3.64,439298,0.00,698.20,0,142
MRF,"59,206.55",0.68,7821,59206.55,0.00,1,0
MRPL,32.75,1.24,416271,0.00,32.75,0,21848
Muthoot Finance,820.05,0.75,2025216,820.05,0.00,287,0
NALCO,30.95,-1.75,14163279,30.95,0.00,17187,0
Narayana Hruda,269.75,-1.08,260653,0.00,269.75,0,292
Natco Pharma,630.70,0.94,890378,630.70,0.00,207,0
Nava Bharat Ven,37.25,-0.40,45431,0.00,37.25,0,7
Navin Fluorine,"1,627.15",8.30,788692,0.00,1627.15,0,854
Navneet,71.85,-2.04,32849,71.85,0.00,2,0
NBCC (India),19.60,1.82,4529432,19.60,0.00,619,0
NCC,25.30,2.85,19980950,0.00,25.30,0,8595
NESCO,428.60,2.11,52113,0.00,0.00,0,0
Network 18,22.90,-0.43,615137,22.90,0.00,3650,0
New India Assur,121.75,6.80,1802654,0.00,121.75,0,917
NHPC,20.70,0.00,3421211,0.00,20.70,0,1375
NIIT Tech,"1,121.50",0.48,1040984,1121.50,0.00,370,0
Nilkamal,"1,078.10",4.38,48516,0.00,1078.10,0,491
Nippon,240.80,11.28,12446230,240.80,0.00,33499,0
NLC India,43.30,-0.23,729991,43.30,0.00,224,0
NMDC,74.10,0.41,2213777,74.10,0.00,1516,0
NTPC,92.35,-1.12,22675958,0.00,92.35,0,1652
Oberoi Realty,333.15,6.18,624795,333.15,0.00,1,0
Oil India,86.20,2.80,1348800,0.00,86.20,0,1782
Omaxe,152.65,0.46,165283,0.00,0.00,0,0
ONGC,68.45,1.26,16723890,68.45,0.00,3622,0
Oracle Fin Serv,"2,114.60",3.83,288169,2114.60,0.00,39,0
Orient Cement,40.60,-0.73,702138,40.60,0.00,688,0
Oriental Bank,43.45,0.00,2183154,43.45,0.00,121,0
P and G,"10,494.40",0.20,3956,0.00,10494.40,0,14
Page Industries,"18,453.40",3.36,40395,18453.40,0.00,13,0
Persistent,468.95,0.14,51535,468.95,0.00,25,0
Pfizer,"4,854.05",10.35,305203,4854.05,0.00,4347,0
Phillips Carbon,79.60,-0.38,194185,0.00,79.60,0,133
Phoenix Mills,541.30,-1.68,630221,541.30,0.00,2,0
PI Industries,"1,503.35",1.51,171994,1503.35,0.00,6,0
Pidilite Ind,"1,540.50",2.35,922147,1540.50,0.00,979,0
Piramal Enter,912.25,5.53,2863988,912.25,0.00,54,0
PNB,30.75,1.82,11950763,30.75,0.00,9565,0
PNB Housing Fin,203.90,-1.92,245756,0.00,203.90,0,980
PNC Infratech,123.10,-0.81,54486,123.10,0.00,163,0
Power Finance,91.90,0.93,3560256,91.90,0.00,725,0
Power Grid Corp,159.60,0.28,5491127,159.60,0.00,502,0
Praj Industries,60.15,-1.72,1514614,60.15,0.00,50,0
Prestige Estate,163.45,-2.68,497547,163.45,0.00,1125,0
Prism Cement,37.45,2.32,166247,37.45,0.00,231,0
Procter&Gamble,"4,188.90",0.72,17448,0.00,4188.90,0,15
PTC India,39.00,-1.89,561012,39.00,0.00,373,0
PVR,964.00,0.98,2645624,964.00,0.00,2148,0
Quess Corp,202.65,-0.81,295447,202.65,0.00,2361,0
Radico Khaitan,295.90,3.66,588111,295.90,0.00,682,0
Rain Industries,69.45,0.43,811184,69.45,0.00,600,0
Rajesh Exports,523.05,-1.37,47816,0.00,523.05,0,8
Rallis India,209.25,-0.05,3488246,0.00,209.25,0,6419
Ramco Cements,524.40,-2.54,814138,0.00,524.40,0,2537
RamkrishnaForge,188.05,-2.39,6910,0.00,188.05,0,789
Rashtriya Chem,38.40,-1.54,2694336,0.00,38.40,0,7092
Raymond,244.80,0.93,128939,244.80,0.00,1828,0
RBL Bank,116.70,8.91,52209263,116.70,0.00,214042,0
REC,88.80,-0.62,5469961,88.80,0.00,895,0
Redington,69.35,-0.64,349432,69.35,0.00,315,0
Rel Capital,7.20,4.35,822823,7.20,0.00,2153581,0
Relaxo Footwear,602.75,-0.22,103557,0.00,602.75,0,80
Reliance,"1,429.75",0.90,26736512,1429.75,0.00,586,0
Reliance Comm,0.95,5.56,7376514,0.95,0.00,3447346,0
Reliance Home F,1.05,5.00,389954,1.05,0.00,996130,0
Repco Home,116.80,4.43,359942,0.00,116.80,0,3197
RITES,245.00,-3.47,743731,245.00,0.00,31,0
Rupa and Comp,146.90,0.27,6534,146.90,0.00,10,0
S H Kelkar,66.15,-3.36,325059,66.15,0.00,33,0
Sadbhav Engg,40.50,4.92,81728,40.50,0.00,44560,0
SAIL,26.55,-1.30,12314451,0.00,26.55,0,36759
Sanofi India,"7,633.65",0.90,35909,7633.65,0.00,36,0
SBI,180.90,0.64,43003001,0.00,180.90,0,26
SBI Life Insura,714.10,5.15,3275857,714.10,0.00,4691,0
Schaeffler Ind,"3,349.65",0.57,9072,3349.65,0.00,10,0
Shankara Buildi,245.60,0.35,17611,245.60,0.00,99,0
Sharda Crop,142.75,3.97,15937,142.75,0.00,200,0
Sheela Foam,"1,292.15",1.19,15209,1292.15,0.00,151,0
Shipping Corp,44.40,6.22,3062987,44.40,0.00,6054,0
Shoppers Stop,191.95,1.05,5544,191.95,0.00,2,0
Shree Cements,"19,021.85",2.34,37872,19021.85,0.00,25,0
Shree Renuka,5.15,-0.96,293468,0.00,5.15,0,4582
Shriram City,719.65,-0.62,4798,719.65,0.00,1,0
Shriram Trans,642.05,-3.91,5905615,642.05,0.00,877,0
Siemens,"1,144.75",-0.10,285726,1144.75,0.00,1,0
Sintex Plastics,1.30,4.00,883274,1.30,0.00,261000,0
SIS,415.05,5.26,340927,0.00,415.05,0,32
SJVN,20.85,0.24,1229677,20.85,0.00,801,0
SKF India,"1,451.30",1.08,25352,0.00,1451.30,0,6
Sobha,213.15,5.00,165563,213.15,0.00,9349,0
Solar Ind,862.60,1.39,3530,862.60,0.00,23,0
Sonata,217.20,-3.68,309815,217.20,0.00,1094,0
South Ind Bk,5.80,0.00,7887517,5.80,0.00,19110,0
SREI Infra,3.90,2.63,952960,3.90,0.00,8961,0
SRF,"3,589.60",2.91,296197,3589.60,0.00,1060,0
Star Cement,77.00,1.99,80786,0.00,77.00,0,149
Sterling & Wils,158.15,4.98,313275,158.15,0.00,52313,0
Sterlite Techno,91.75,5.04,3649616,0.00,91.75,0,3489
Strides Pharma ,382.15,1.31,599446,382.15,0.00,616,0
Sudarshan Chem,413.75,1.48,215508,413.75,0.00,2237,0
Sun Pharma,489.90,0.90,19311559,489.90,0.00,3428,0
Sun Pharma Adv,139.55,-0.21,655167,139.55,0.00,4961,0
Sun TV Network,378.15,0.33,1733620,0.00,378.15,0,595
Sundaram Fin,"1,243.65",1.97,44167,0.00,1243.65,0,90
Sundram,304.95,2.35,48671,0.00,0.00,0,0
Sunteck Realty,187.95,0.03,140436,187.95,0.00,408,0
Suprajit Eng,118.45,0.04,81510,118.45,0.00,9,0
Supreme Ind,"1,144.65",10.19,211827,1144.65,0.00,40,0
Suven Life Sci,39.80,4.87,3424665,39.80,0.00,33526,0
Suzlon Energy,2.65,0.00,36398200,2.65,0.00,72509,0
Swan Energy,100.25,0.40,78322,0.00,0.00,0,0
Symphony,907.75,0.17,55605,907.75,0.00,118,0
Syndicate Bank,15.15,0.00,4486879,0.00,15.15,0,20936
Syngene Intl,308.95,0.77,551025,0.00,308.95,0,2091
Take Solutions,57.05,-4.92,84947,0.00,57.05,0,9
Tamil Newsprint,98.30,1.18,206959,98.30,0.00,2000,0
Tata Chemicals,278.25,3.04,2772497,0.00,278.25,0,3956
Tata Coffee,70.80,0.85,321930,70.80,0.00,90,0
Tata Comm,366.85,-0.84,56851,0.00,366.85,0,64
TATA Cons. Prod,349.35,7.13,7426428,349.35,0.00,2383,0
Tata Elxsi,829.15,10.37,3146899,0.00,829.15,0,1943
